                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.73486,                0.40126,                0.81084,                 0.8429,                0.74833,                0.81587,                0.52634,                0.90634,                 1.0537,                0.62399,             0.00055188,             0.00055188,             0.00055188
                     64,                0.69979,                0.38976,                0.80381,                0.88103,                0.74186,                0.83296,                0.53541,                0.93483,                 1.0801,                0.62068,             0.00053773,             0.00053773,             0.00053773
                     65,                0.70399,                0.39127,                0.80374,                0.81526,                0.77437,                0.80418,                0.51897,                  0.912,                 1.0912,                0.63271,             0.00052359,             0.00052359,             0.00052359
                     66,                0.70025,                 0.3837,                0.80651,                0.86398,                0.71824,                0.81536,                0.52671,                0.92146,                 1.0906,                0.64031,             0.00050944,             0.00050944,             0.00050944
                     67,                 0.7225,                0.40127,                0.80069,                0.85828,                0.73786,                0.81656,                0.53116,                0.91354,                 1.1009,                0.62609,             0.00049529,             0.00049529,             0.00049529
                     68,                0.72333,                0.38945,                0.79997,                0.87605,                0.74778,                0.83519,                0.54043,                0.91401,                 1.0835,                0.63278,             0.00048114,             0.00048114,             0.00048114
                     69,                0.72245,                 0.3934,                0.79796,                0.83076,                0.77146,                0.83068,                0.53489,                 0.9238,                 1.0969,                0.63071,               0.000467,               0.000467,               0.000467
                     70,                0.70389,                0.38771,                0.80064,                0.81849,                0.77874,                0.82483,                0.53787,                  0.917,                 1.0934,                0.63291,             0.00045285,             0.00045285,             0.00045285
                     71,                0.69047,                0.38035,                0.80081,                0.85222,                0.73741,                0.82512,                 0.5299,                0.91125,                 1.0616,                0.62752,              0.0004387,              0.0004387,              0.0004387
                     72,                0.69904,                0.38828,                 0.7953,                0.85747,                 0.7281,                0.83076,                0.54168,                0.91986,                 1.0815,                0.62364,             0.00042456,             0.00042456,             0.00042456
                     73,                0.69119,                0.38439,                0.80052,                0.84086,                0.74269,                0.82469,                0.52742,                0.95007,                 1.1038,                0.63554,             0.00041041,             0.00041041,             0.00041041
                     74,                 0.6962,                0.39093,                 0.8017,                0.89503,                0.77547,                 0.8517,                0.56275,                0.95944,                 1.0626,                0.66225,             0.00039626,             0.00039626,             0.00039626
                     75,                0.69841,                0.37475,                0.80458,                0.85427,                0.75321,                 0.8349,                0.54481,                0.96603,                 1.1422,                 0.6554,             0.00038211,             0.00038211,             0.00038211
                     76,                0.68566,                0.37838,                0.80866,                0.87801,                0.74313,                0.84387,                0.56361,                0.92169,                 1.1737,                0.63237,             0.00036797,             0.00036797,             0.00036797
                     77,                0.70224,                0.38032,                0.79875,                0.86957,                0.72539,                0.83797,                0.54856,                0.96903,                 1.2056,                0.65957,             0.00035382,             0.00035382,             0.00035382
                     78,                 0.6728,                0.36506,                0.79699,                0.87789,                0.76263,                0.84551,                0.56415,                0.93836,                 1.1924,                0.65432,             0.00033967,             0.00033967,             0.00033967
                     79,                  0.671,                0.36249,                0.79636,                0.88798,                0.73838,                0.83632,                 0.5517,                0.92275,                 1.1671,                0.65195,             0.00032553,             0.00032553,             0.00032553
                     80,                0.68238,                0.36798,                0.80593,                0.90265,                0.74867,                 0.8435,                0.55089,                 0.9056,                 1.2189,                0.63827,             0.00031138,             0.00031138,             0.00031138
                     81,                0.66458,                0.36664,                0.79987,                0.84731,                0.77907,                0.83753,                0.55848,                0.91283,                 1.2585,                0.63859,             0.00029723,             0.00029723,             0.00029723
                     82,                0.65624,                0.35324,                 0.8012,                0.85416,                0.76704,                 0.8536,                0.55709,                0.93843,                 1.2305,                0.65049,             0.00028308,             0.00028308,             0.00028308
                     83,                0.68862,                0.37298,                0.80028,                0.89479,                0.74926,                 0.8466,                0.56476,                0.89125,                 1.2323,                0.63186,             0.00026894,             0.00026894,             0.00026894
                     84,                0.64978,                0.35762,                0.79402,                0.82276,                0.79387,                0.84803,                0.55878,                0.87375,                 1.1921,                0.61182,             0.00025479,             0.00025479,             0.00025479
                     85,                0.65604,                0.36365,                0.80007,                0.84595,                0.78015,                0.84979,                0.56547,                0.88576,                 1.1274,                0.62082,             0.00024064,             0.00024064,             0.00024064
                     86,                0.65408,                0.36551,                0.79647,                0.88133,                0.73745,                0.84068,                0.56065,                0.89497,                 1.0832,                0.62954,              0.0002265,              0.0002265,              0.0002265
